EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.0125	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
2400	-16884.7	-8690	0.1
2500	-19234.4	-8690	0.1
2600	-17447.85	-8690	0.1
2700	-20691.05	-8690	0.1
2800	-20125.55	-8690	0.1
2900	-20507.85	-8690	0.1
3000	-19715.75	-8634	0.1
3100	-16277.35	-8634	0.1
3200	-19258.25	-8634	0.1
3300	-17756.65	-8634	0.1
3400	-20331.05	-8634	0.1
3500	-24293.55	-8634	0.1
3600	-22562.6	-8634	0.1
3700	-17895.55	-8634	0.1
3800	-19935.5	-8634	0.1
3900	-21096.55	-8634	0.1
4000	-17242.55	-8634	0.1
4100	-20520.9	-8634	0.1
4200	-18665.45	-8634	0.1
4300	-18844.45	-8634	0.1
4400	-20118.95	-8634	0.1
4500	-15722.8	-8634	0.1
4600	-17327.05	-8634	0.1
4700	-19150.35	-8629	0.1
4800	-20266.15	-8629	0.1
4900	-19409.55	-8629	0.1
Total Time: 40.60541892051697
Best Route: 1 22 49 32 36 34 35 39 40 37 38 48 24 15 5 6 4 25 46 44 16 50 20 23 31 18 45 19 41 8 9 10 43 33 51 12 28 27 26 47 13 14 52 11 29 30 42 7 2 21 17 3 
Fitness=-8629

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-28623.25	-8980	0.1
100	-21844.65	-8980	0.1
200	-20469.8	-8980	0.1
300	-15271.6	-8980	0.1
400	-17936.2	-8980	0.1
500	-21564.9	-8980	0.1
600	-23216.55	-8870	0.1
700	-15939.05	-8870	0.1
800	-19199.85	-8870	0.1
900	-17844.9	-8870	0.1
1000	-20593.45	-8870	0.1
1100	-17895.95	-8870	0.1
1200	-22967.9	-8870	0.1
1300	-21950.5	-8870	0.1
1400	-15195.4	-8870	0.1
1500	-15968.55	-8870	0.1
1600	-15871.2	-8870	0.1
1700	-22318.85	-8870	0.1
1800	-19101.05	-8870	0.1
1900	-16617.1	-8870	0.1
2000	-23043.65	-8870	0.1
2100	-18065.6	-8870	0.1
2200	-22020.6	-8870	0.1
2300	-16250.7	-8870	0.1
2400	-18288.55	-8870	0.1
2500	-19332.9	-8870	0.1
2600	-19182.4	-8870	0.1
2700	-19473.5	-8870	0.1
2800	-18946.9	-8870	0.1
2900	-14121.05	-8841	0.1
